,ROWS,ADJ_WORKING_DAYS,REVISED_BASIC,REVISED_DA,REVISED_ATTENDANCE_ALLOWANCE,REVISED_GROSS,REVISED_GROSS_NEW,ECR_PF,REVISED_PF,REVISED_ESIC,ESIC_AS_PER_FUTURE,ESI_DIFFERENCE,PT,LWF,UNIFORM,ADVANCE,TDS,EMPLOYEE_WELFARE_FUND,OTHER_DEDUCTION_SMALL,FOOD_DEDUCTION,MOBILE_DEDUCTION,PROFESSIONAL_FEES,INSURANCE_DEDUCTION,FINE,ACCOMODATION,INSURANCE,FLEXI_DED,FOOD_DEDUCTIONS,CONVEYANCE_ALL_DED,LAUNDRY_CHARGES,MEAL_DEDUCTION,REFYNE_ADVANCE,ESI_COL_22,OTHER_DEDUCTION_PLUG,REVISED_TOTAL_DED,REVISED_NET_PAYABLE,NETPAYABLE_ORIG
Apr-25,19161.0,455629.75,211416551.0,8218107.0,146197433.0,365832092.0,307258776.67,22980428.0,22980428.0,1447434.0,1447434.0,0.0,631048.0,105724.0,0.0,2259506.0,78140.0,143570.0,2752461.0,1475597.0,0.0,0.0,11540.0,0.0,0.0,42503.0,25219.0,568098.0,16500.0,0.0,0.0,0.0,0.0,119421893.09,136142388.09,229689886.0,229689886.0
May-25,19328.0,463791.28,209473186.0,8731670.0,146057004.0,364261857.0,294937932.35,22977657.0,22977657.0,1466653.0,1466656.53,0.0,668331.5,108019.0,0.0,1634530.0,36500.0,140980.0,836132.0,1571758.0,0.0,0.0,10283.0,0.0,0.0,42384.0,27469.0,569292.0,18871.0,0.0,0.0,0.0,,119329476.35,132159682.88,232102234.0,232102234.0
Jun-25,18934.0,437369.31,199200144.0,9203092.0,146603417.0,355006653.0,311862253.69,23319453.0,23319453.0,1558822.0,1558878.84,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,98198961.19,122068192.98,232938693.0,232938693.0
Jul-25,19167.0,458048.62,205332249.0,9465366.0,129720116.0,344517733.0,300370600.33,23982900.0,23982900.0,1524007.0,1524007.0,,,,,,,,,,,,,,,,,,,,,,,79769063.22,103407487.22,241110478.0,241110478.0
Aug-25,19428.0,449934.53,200916392.0,9706687.0,133057688.0,343680767.0,302404123.67,23833745.0,23833745.0,1512147.0,1512147.0,0.0,,,,,,,,,,,,,,,,,,,,,,81165313.68,106511205.41,237169533.0,237169533.0
Sep-25,19207.0,448794.2,204438669.0,10103095.0,129774119.0,344315883.0,302377397.67,24402372.0,24402372.0,1541389.0,1541389.0,0.0,,,,,,,,,,,,,,,,,,,,,,77880509.97,103824270.97,240491977.0,240491977.0
Oct-25,19785.0,449787.33,204369750.0,10700467.0,140079580.0,355149797.0,313230127.0,24286578.0,24286578.0,1535460.0,1535460.0,0.0,,,,,,,,,,,,,,,,,,,,,,87062070.58,112884108.31,242265868.0,242265868.0
Nov-25,19297.0,441817.48,203279779.0,11257174.0,130306315.0,344843305.0,306692287.67,23861498.0,23861498.0,1508310.0,1508310.0,,,,,,,,,,,,,,,,,,,,,,,79783619.96,105153427.96,239690178.0,239690178.0
Dec-25,19800.0,473792.7,213956102.0,13147843.0,138855752.0,365959707.0,322259850.33,25136852.0,25136852.0,1577611.0,1577611.0,,,,,,,,,,,,,,,,,,,,,,,82341655.06,109056118.06,256903785.0,256903785.0
Jan-26,20364.0,486746.39,214225091.0,13286862.0,165452143.0,392964100.0,330412276.33,25669090.0,25669090.0,1605107.0,1605107.0,,,,,,,,,,,,,,,,,,,,,,,106201050.31,133475247.31,259488916.0,259488916.0
Feb-26,19862.0,447723.17,212714442.0,13838731.0,168417220.0,394970396.0,334720608.0,25462898.0,25462898.0,1570879.0,1570879.0,,,,,,,,,,,,,,,,,,,,,,,110329123.87,137362900.67,257607690.0,257607690.0
Mar-26,20749.0,485648.9,217214033.0,13820562.0,174015778.0,405050371.0,340340459.0,25844828.0,25844828.0,1618156.0,1618156.0,,,,,,,,,,,,,,,,,,,,,,,114057350.11,141520334.11,263530256.0,263530256.0
TOTAL FY 2025-26,235082.0,5499083.66,2496536388.0,131479656.0,1748536565.0,4376552661.0,3766866692.71,291758299.0,291758299.0,18465975.0,18466035.37,0.0,1299379.5,213743.0,0.0,3894036.0,114640.0,284550.0,3588593.0,3047355.0,0.0,0.0,21823.0,0.0,0.0,84887.0,52688.0,1137390.0,35371.0,0.0,0.0,0.0,0.0,1155540087.39,1443565363.97,2932989494.0,2932989494.0
